,Incident ID,Year,Month,Day,Country,Region,District,City,UN,INGO,LNGO/NRCS,ICRC,IFRC,Other,Nationals killed,Nationals wounded,Nationals kidnapped,Total nationals,Internationals killed,Internationals wounded,Internationals kidnapped,Total internationals,Total killed,Total wounded,Total kidnapped,Total affected,Gender Male,Gender Female,Gender Unknown,Means of attack,Attack context,Location,Latitude,Longitude,Details,DateTime
5,5,1997,2,14,Rwanda,Kigali,,Kigali,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Shooting (small arms ,Individual,Unknown,-1.9508511,30.0615075,1 UN national staff shot and killed in Kigali Feb 14.,1997-02-14
7,6,1997,5,7,Sierra Leone,,,,3,0,0,0,0,0,1,2,0,3,0,0,0,0,1,2,0,3,1,0,2,Unknown,Ambush,Unknown,8.6400349,-11.8400269,1 UN national staff driver killed and 2 UN national staff wounded when UN assessment team ambushed May 7.,1997-05-07
9,12,1997,6,8,Rwanda,Northern ,Musanze ,Ruhengeri,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown, Combat (or police operations) ,Unknown,-1.49984,29.63497,1 INGO national staff killed when he was among a group of villagers attacked by insurgents near Ruhengeri on June 8.,1997-06-08
10,8,1997,6,14,Rwanda,Northern ,Musanze ,Ruhengeri,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting (small arms ,Individual,Home ,-1.49984,29.63497,"1 UN national staff shot and killed in Ruhengeri June 14. The staffer, his wife, young child and another relative were killed at night in their home in Rubange secteur.",1997-06-14
11,9,1997,6,17,Rwanda,Northern ,Musanze ,Ruhengeri,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Shooting (small arms ,Detention,Unknown,-1.49984,29.63497,"1 UN national staff shot and killed in Ruhengeri June 17. Arrested by soldiers on 9 June 1997. The mutilated body was found in the bush near Ruhengeri town, on 13 June and had been tortured and shot through the head.",1997-06-17
12,14,1997,6,19,Somalia,Lower Juba,Kismayo,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Ambush,Unknown,-0.36667,42.53333,1 INGO driver killed by Al Ittihad militia in Kismayo on June 19.,1997-06-19
13,10,1997,6,19,Rwanda,Northern ,Musanze ,"Ruhengeri, Kigombe ",1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting (small arms ,Raid,Home ,-1.49984,29.63497,"1 UN national staff driver was shot and killed in Ruhengeri along with his wife, their son aged 7 and their daughter aged 6. They were shot through the windows of their house in Kigombe.",1997-06-19
14,13,1997,6,20,Somalia,Bay,Baidoa,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,Shooting (small arms ,Individual,Project site ,3.1199508,43.6444625,1 INGO international staffer (Portuguese) shot in Baidoa hospital apparently in revenge for shooter's brother who died in his care.,1997-06-20
19,15,1997,7,17,Bangladesh,,Narayanganj ,Siddhirganj,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting (small arms ,Individual,Unknown,23.61352,90.50298,"1 UN natl staff shot and killed in Siddhirganj, July 17.",1997-07-17
24,22,1997,9,24,Ethiopia,Ogaden,,,2,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,1,0,1,Shooting (small arms ,Individual,Unknown,8.53056,44.795,2 UN national staffers shot dead in apparent robbery attempt in Ogaden region Sept 24.,1997-09-24
28,27,1997,10,18,Afghanistan,Balkh,Mazar-e Sharif,Mazar-e Sharif (200km W of city on Anchoy-Shibirgan road),0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting (small arms , Combat (or police operations) ,Road ,36.70904,67.11087,1 ICRC national staff killed by stray bullet when three ICRC cars caught in crossfire Anchoy-Shibirgan road 200 kilometres west of Mazar-i-Sharif on Oct 18.,1997-10-18
29,29,1997,10,23,Chechnya,,,Grozny,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,2,Kidnapping ,Unknown,Unknown,43.3278775,45.6762535,2 INGO international (Hungarian) staff kidnapped in Grozny on Oct 23 and held for 9 months. Severe abuse (multilations). Ransom paid by Hungarian govt.,1997-10-23
31,30,1997,11,22,Somalia,,,,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,3,Kidnapping ,Unknown,Unknown,8.3676771,49.083416,3 UN national staff (from two agencies) and 1 from another UN body abducted by gunmen on Nov 22 and released the next day. Involved a charcoal trade dispute.,1997-11-22
32,32,1997,11,26,Somalia,Deganlei ,,,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,2,Kidnapping ,Raid,Office,2.270978,45.334654,"2 INGO international staff (Italian) were kidnapped after 1-hour armed attack on base in Deganlei on Nov 26. Organized by Mogadishu businessman who had a trade dispute with the then Vice Governor of Balad, Mohamed Abshir.",1997-11-26
34,33,1997,12,17,Chechnya,,,,0,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,5,0,0,5,Kidnapping ,Unknown,Unknown,43.3976147,45.6985005,5 INGO international (Polish) staff kidnapped by 15 armed men on Dec 17.,1997-12-17
39,36,1998,1,29,Chechnya,North Ossetia,,,2,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,2,2,0,0,Kidnapping ,Unknown,Unknown,43,44.25,1 UN international (French) staff kidnapped and 1 UN national staff driver beaten at gunpoint in N. Ossetia on Jan 29.,1998-01-29
41,40,1998,3,6,Uganda,,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Unknown,Unknown,1.5333554,32.2166578,1 UN national staff killed March 6.,1998-03-06
42,39,1998,3,22,Sierra Leone,Eastern  of Sierra Leone,Kailahun ,Segbwema,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting (small arms , Combat (or police operations) ,Unknown,7.9967363,-10.9495705,1 ICRC national staff member (and his son) killed during killed in an exchange of fire between ECOMOG and the AFRC/RUF near Segbwema.,1998-03-22
45,43,1998,4,15,Somalia,Banaadir,,Mogadishu,0,0,1,7,2,0,0,0,1,1,0,0,9,9,0,0,10,10,0,0,10,Kidnapping ,Ambush,Road ,2.033333,45.35,"9 internationals and 1 national working for ICRC/IFRC kidnapped as their aircraft landed in Mogadishu (5 ICRC internationals, 2 IFRC delegates, 1 national RC worker kidnapped along with 2 pilots (labelled here as ICRC)). The victims were a Somali, an American, a South African.",1998-04-15
47,46,1998,6,9,Sudan,South Kordofan,,,2,0,4,0,0,0,3,3,0,6,0,0,0,0,3,3,0,6,0,0,3,Shooting (small arms ,Ambush,Road ,11,31,2 UN national staff killed along with 1 national RC worker were killed when gunmen fired on UN vehicle in South Kordofan June 9 (3 other RC workers wounded).,1998-06-09
48,47,1998,6,25,Ethiopia,Somali,,travelling from Gode to Degeh Bur,0,0,0,6,0,0,0,0,0,0,0,0,6,6,0,0,6,6,0,0,6,Kidnapping ,Ambush,Road ,7,44,"6 ICRC international staff (1 Swiss, 5 Somali) abducted when travelling from Gode to Degeh Bur in three marked vehicles on June 25. On July 3 the Islamic group al-Ittihad al-Islami claimed responsibility, stating that the hostages were under investigation for",1998-06-25
50,49,1998,7,8,Uganda,,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Ambush,Road ,1.5333554,32.2166578,1 UN national staff killed in ambush by guerrillas from the Uganda National Rescue Front II on July 8. Vehicle also robbed and blown up.,1998-07-08
